test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
15S_rRNA	15S_rRNA	15S_RRNA	chrM:6545-8194	Batch	Chem	NOTEST	0	0	0	0	1	1	no
21S_rRNA	21S_rRNA	21S_RRNA	chrM:58008-62447	Batch	Chem	NOTEST	0	0	0	0	1	1	no
HRA1	HRA1	HRA1	chrI:94687-99869	Batch	Chem	OK	1464.78	765.143	-0.936884	-0.830238	0.17175	0.219043	no
ICR1	ICR1	ICR1	chrIX:393880-397079	Batch	Chem	NOTEST	0	0	0	0	1	1	no
LSR1	LSR1	LSR1	chrII:680682-681857	Batch	Chem	NOTEST	0	0	0	0	1	1	no
NME1	NME1	NME1	chrXIV:585588-585928	Batch	Chem	NOTEST	0	0	0	0	1	1	no
PWR1	PWR1	PWR1	chrIX:393880-397079	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0010	Q0010	Q0010	chrM:3951-4415	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0017	Q0017	Q0017	chrM:3951-4415	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0032	Q0032	Q0032	chrM:11666-11957	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0045	Q0045	COX1	chrM:13817-26701	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0050	Q0050	AI1	chrM:13817-26701	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0055	Q0055	AI2	chrM:13817-26701	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0060	Q0060	AI3	chrM:13817-26701	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0065	Q0065	AI4	chrM:13817-26701	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0070	Q0070	AI5_ALPHA	chrM:13817-26701	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0075	Q0075	AI5_BETA	chrM:13817-26701	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0080	Q0080	ATP8	chrM:27665-27812	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0085	Q0085	ATP6	chrM:28486-29266	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0092	Q0092	Q0092	chrM:30873-31014	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0105	Q0105	COB	chrM:36539-43647	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0110	Q0110	BI2	chrM:36539-43647	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0115	Q0115	BI3	chrM:36539-43647	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0120	Q0120	BI4	chrM:36539-43647	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0130	Q0130	OLI1	chrM:46722-46953	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0140	Q0140	VAR1	chrM:48900-50097	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0142	Q0142	Q0142	chrM:51051-51228	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0143	Q0143	Q0143	chrM:51276-51429	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0144	Q0144	Q0144	chrM:54108-54438	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0160	Q0160	SCEI	chrM:58008-62447	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0182	Q0182	Q0182	chrM:65769-66179	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0250	Q0250	COX2	chrM:73757-75984	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0255	Q0255	Q0255	chrM:73757-75984	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0275	Q0275	COX3	chrM:79212-80022	Batch	Chem	NOTEST	0	0	0	0	1	1	no
Q0297	Q0297	Q0297	chrM:85294-85777	Batch	Chem	LOWDATA	0	0	0	0	1	1	no
R0010W	R0010W	FLP1	2-micron:251-1523	Batch	Chem	NOTEST	0	0	0	0	1	1	no
